"Nom famille","Sous-famille","Médicaments représentatifs","Mode d’action","Spectre","Indication principale","Particularité"
"Bêta-lactamines","Pénicillines A","Amoxicilline, amoxicilline-acide clavulanique","Inhibition de la synthèse de la paroi bactérienne","Large, avec activité sur certains Gram + et certains bacilles Gram - selon la molécule","Infections ORL, pneumopathies","L’acide clavulanique inhibe les bêta-lactamases. Les-antibiotiques_version-complete.pdf"
"Bêta-lactamines","Pénicillines G/V","Pénicilline V, benzylpénicilline","Inhibition de la paroi bactérienne","Plutôt étroit : cocci Gram +, bacilles Gram +, spirochètes","Prophylaxie du streptocoque, syphilis","Formes orale ou injectable selon la molécule. Les-antibiotiques_version-complete.pdf"
"Bêta-lactamines","Pénicillines M","Oxacilline, cloxacilline","Inhibition de la paroi bactérienne","Étroit, surtout staphylocoques sensibles","Infections à Staphylococcus aureus sensible","Utiles pour distinguer SASM et SARM. Les-antibiotiques_version-complete.pdf"
"Bêta-lactamines","Céphalosporines","Cefazoline, ceftriaxone, cefepime","Inhibition de la paroi bactérienne","Variable selon la génération, de plus en plus large","Infections plus profondes, infections sévères","La ceftriaxone ne doit pas être administrée en même temps que le calcium. Les-antibiotiques_version-complete.pdf"
"Bêta-lactamines","Carbapénèmes","Imipénem-cilastatine, méropénem","Inhibition de la paroi bactérienne","Très large, le plus étendu des bêta-lactames","Infections sévères à BMR ou polymicrobiennes","Interaction importante avec l’acide valproïque. Les-antibiotiques_version-complete.pdf"
"Bêta-lactamines","Monobactame","Aztréonam","Inhibition de la paroi bactérienne","Étroit","Infections à bacilles Gram -","Peut être synergique avec un aminoside. Les-antibiotiques_version-complete.pdf"
"Tétracyclines","—","Doxycycline","Inhibition de la synthèse protéique","Large","Chlamydia, acné, pneumopathies à mycoplasme","Contre-indiquée chez l’enfant de moins de 8 ans et la femme enceinte. Les-antibiotiques_version-complete.pdf"
"Fosfomycine","—","Fosfomycine","Inhibition de la synthèse de la paroi bactérienne","Large","Cystite aiguë simple","Souvent utilisée en dose unique pour la cystite simple. Les-antibiotiques_version-complete.pdf"
"Aminosides","—","Gentamicine, amikacine, tobramycine","Inhibition de la synthèse protéique","Large","Infections sévères, toujours en association","Néphrotoxicité et ototoxicité ; dosage au pic et en vallée. Les-antibiotiques_version-complete.pdf"
"Fluoroquinolones","—","Ciprofloxacine, lévofloxacine, ofloxacine","Inhibition de la réplication de l’ADN","Large","Infections urinaires, respiratoires, certaines infections sévères","Risque de tendinopathie, allongement du QT, photosensibilisation. Les-antibiotiques_version-complete.pdf"
"Glycopeptides","—","Vancomycine, teicoplanine","Inhibition de la biosynthèse de la paroi bactérienne","Ciblé sur Gram +","Infections sévères à SARM","Dosage utile car risque néphrotoxique et ototoxique. Les-antibiotiques_version-complete.pdf"
"Macrolides","—","Érythromycine, spiramycine","Inhibition de la synthèse protéique","Plutôt étroit","Infections à germes intracellulaires, toxoplasmose, certaines infections respiratoires","Nombreuses interactions médicamenteuses via inhibition du CYP3A4. Les-antibiotiques_version-complete.pdf"
"Autres","Nitroimidazolés","Métronidazole","Action sur les germes anaérobies","Ciblé anaérobies","Infections digestives, post-opératoires, parasitoses","Souvent utilisé en association. Les-antibiotiques_version-complete.pdf"
"Autres","Oxazolidinones","Linézolide","Inhibition de la synthèse protéique","Ciblé Gram + résistants","Infections sévères à SARM ou entérocoques","Toxicité neuro-hématologique si traitement prolongé. Les-antibiotiques_version-complete.pdf"
"Autres","Sulfamides + triméthoprime","Cotrimoxazole","Blocage de la synthèse des folates","Large","IU, prostatite, pneumopathies","Utile aussi en prophylaxie chez certains immunodéprimés. Les-antibiotiques_version-complete.pdf"
"Autres","Lincosamides","Clindamycine","Inhibition de la synthèse protéique","Gram + et anaérobies","Infections cutanées, digestives, post-opératoires","Peut être utilisée dans certaines infections à SARM. Les-antibiotiques_version-complete.pdf"
