INFECTION CUTANEE,Affection,Agent infectieux,Mode de transmission,Clinique,Facteurs favorisants,Complications Liées à linfection,Traitement,Contre-indication
"Bactérienne 

= atteinte dun mécanisme de défense cutané :

- barrière kératinocytaire
- modification du pH
- disparition du film sébacé
- disparition flore commensale
- chaleur
- humidité
- macération",Impetigo,Staph aureus Strep pyogenes,"Endogène 
Non immunisable","Bulle couche cornée ? érosion suintante ? croûte mélicérique 

Extension centrifuge 
Touche principalement le pourtour de la bouche 
Absence de fièvre",Âge (touche préférablement les enfants) Hygiène insuffisante,Surinfection,"Soins dhygiène 
Antiseptiques locaux 
Pommade antibiotique",Pommade corticoïde
,"Panaris, abcès, furoncle",Staph aureus,,,,,,
,Eryspèle,Strep pyogenes,,"Rougeur aiguë fébrile (membre inférieurs > visage)
Fièvre initiale 39-40°C 
Placard inflammatoire douloureux à la palpation ± décollement bulleux ± adénopathie ± lymphangite","Porte dentrée locorégionale (plaie, piqure, intertrigo) 
Diabète Insuffisance veineuse chronique
Lymphoedème 
Obésité",Fasciite nécrosante,"ATB per os 
Repos ± anticoag préventive 
Antalgiques 
Traitement porte dentrée 
Vaccination antitétanique / rappel",AINS
"Fongique 

= atteinte couche cornée + phanères + muqueuses (ORL, génitale, digestive)

- bénin (sauf si immunodépression)
- fréquent
- absence d’anomalie biologique (pas d’indication bilan bio)

- signes cliniques variés +++ (plaques érythémateuses bordées, alopécie, leucorrhées)",Candidoses (pas de prélèvement ou rare),"Candida albicans-levure saprophyte, vit habituellement au niveau des muqueuses- ne se retrouve pas sur une peau saine",Endogène,"'- Buccale (muguet, glossite, perlèche)
- Anale (érythème vif périanal, prurit)
- Génitale- Intertrigo
- Onyxis
- Digestive","- Généraux : diabète, VIH/SIDA, maladie de système ou générale
- Iatrogène : ATB, AIS, chimio, immunosuppresseurs
- Locaux : macération, xérostomie (sd sec), irritation locale",,"- Antifongique local 2-4 semaines
- par voie générale si atteinte étendue
- Traiter les facteurs favorisants",
,"Dermatophytoses

- scotch-test sur peau glabre
- grattage ongle
- prélèvement cheveux cassé
- prélèvement squames
- écouvillonnage muqueuse","- Microsporum
- Trichophyton 

(non saprophyte)","Exogène 

Contact avec les animaux, le sol ou inter-humaine (squames contaminés)","Atteinte des phanères, de la peau glabre et des plis Pas datteinte des muqueuses","- Promiscuité- Vie en collevticité- Macération- Hygiène,- Diabète- Traumatismes de lépiderme- etc",,,
Virale,Herpès cutané et muqueux,"Herpès simplex virus HSV1 = sphère ORL HSV2 = sphère génitale

On peut retrouver les 2 HSV dans les sphères ORL et génitale (herpès du nouveau né, pratiques sexuelles)","Exogène 

Par effraction cutanée puis multiplication dans les cellules épithéliales puis chemine par un nerf sensitif jusquau ganglion 

? phase de quiescence (dormance)

 ? phases de récurrences = recolonisation du territoire cutanéo-muqueux de la primo-infection","Primo-infection = asymptomatique en majorité

Sauf :

- primo-infection buccale chez les enfants = gingivostomatite herpétique (rougeur, douleur, enduit blanchâtre sur la langue, croutes sur les lèvres)

- primo-infection génitale = vulvo-vaginite ou anorectite (vésicules en bouquets, fin liquide sur les grandes lèvres voire jusquen péri-anal) ? Guérison en 14jrs environ",,,"Antiviraux per os (aciclovir ou valaciclovir)
- Antalgiques",
,,,,"Récurrences (80 % des adultes porteurs quiescent, 20 % présenteront des récurrences) 

Prodromes ? plaque érythémateuse ? vésicules en bouquets ? bulle /rupture ? érosion croûteuse ? guérison spontanée en 10jrs","'- Stress
- Traumatismes
- Chirurgie régionale
- Rapports sexuels
- Règles
- Exposition au soleil
- etc",,"- Antiviraux per os ou local (aciclovir)
- Antalgiques
- Si récurrences > 6/an ou poussées invalidantes = antiviral pendant plusieurs mois",
,Zona = réactivation du virus de la varicelle,"VZV 

= latent dans les ganglions sensitifs des nerfs crâniens et rachidiens 

? atteinte métamérique et unilatérale (voire cartographie des territoires sensitifs neurologiques)","Exogène (gouttelettes, contact)","Prodromes ? Placards érythémateux ? vésicules en bouquet ? pustules ou bulles ? érosion ? nécrose- Douleurs neuropathiques (pré-per-post zostériennes)

Guérison en 15jrs",,,"- Antiseptique local
- Antiviral per os (réduire intensité/probabilité de douleur post zostérienne importante)",
Parasite,"Gale

- important de bien éduquer le patient sur les mesures dhygiène ainsi que lentourage.
- Recours à des informations écrites fortement conseillé. 

? Prévention contact standard + complémentaire (peau + objets contaminés)",Acarien (Sarcoptes scabiei),Exogène (contact direct ou indirect),"- Prurit vespérale (début de nuit/nocturne)
- Localisation = espace interdigitaux, face antérieure des poignets, mamelons, organes génitaux externes SAUF la tête
- Sillons scabieux parfois observables ou nodules
- Risque d'impetigo (impetiginisation) si grattage important et prolongé",,Risque de sur-diagnostic = traiter des personnes (px + entourage) contre la gale alors quils nen sont pas atteints,"Patient :

- lotions/crèmes corporels locales
- et / ou ttmt systémique ivermectine per os en 2 prises à 10 jours dintervalle (éclosion des ufs à distance)
- textile- éviction scolaire ou des collectivités jusquà 3 jours après le début des traitements",
,,,,,,,"Entourage :

- toute personne ayant eu un contact avec le patient même si asymptomatique.
- 1 prise unique divermectine per os",
,"Pédiculoses 

= poux ? éducation ++",poux,Contact,"Cuir chevelu = prurit, parasite visibles à loeil nu Corps = prurit, pou de corps Pubis = prurit, phtiriase",- Promiscuité- Vie en collevticité,,"- Local en 2 temps à 7 jours dintervalle pour tuer les lentes
- traitement du linge",
