Famille,Sous_type,Medicament_Principal,Exemples_Commerciaux,Indication_1,Indication_2,Mecanisme_Court,IDE_1_Grave,IDE_2,Surveillance_Clinique_1,Surveillance_Clinique_2,Surveillance_Biologique_1,Surveillance_Biologique_2,Antidote
Antalgique palier 1,Non opioïdes,Paracétamol,Doliprane,Douleur légère-modérée,Fièvre,Modulation prostaglandines SNC,Hépatotoxicité,Réactions cutanées,Douleur,température,fonction hépatique,,N-acétylcystéine
Antalgique palier 1,Non opioïdes,Ibuprofène,"Advil, Nurofen",Douleur légère-modérée,Inflammation,Inhibition COX-1/2,Hémorragie digestive,Insuffisance rénale aiguë,Signes digestifs,diurèse,Créatininémie,,Pas d'antidote spécifique
Antalgique palier 1,Non opioïdes,Acide acétylsalicylique,"Aspirine, Kardégic",Douleur légère-modérée,Prévention thrombose,Inhibition COX-1/2,Hémorragie digestive,Ulcère gastro-intestinal,Signes de saignement,douleurs gastriques,Créatininémie,NFS,Pas d'antidote spécifique
Antalgique palier 2,Opioïdes faibles,Tramadol,Contramal,Douleur modérée-intense,,Agoniste opioïde faible + inhibition recapture,Dépression respiratoire,Dépendance,Fréquence respiratoire,vigilance,Créatininémie,,Naloxone
Antalgique palier 2,Opioïdes faibles,Codéine,Codoliprane,Douleur modérée-intense,,Agoniste opioïde faible,Constipation,Nausées/vomissements,Vigilance,transit,Créatininémie,,Naloxone
Antalgique palier 3,Opioïdes forts,Morphine,Skénan LP,Douleur intense rebelle,Douleur chronique oncologique,Agoniste µ puissant,Dépression respiratoire,Dépendance,Fréquence respiratoire,SpO2,NFS,Fonction hépatique,Naloxone
Antalgique palier 3,Opioïdes forts,Oxycodone,OxyContin,Douleur intense rebelle,Douleur postopératoire,Agoniste µ puissant,Dépression respiratoire,Constipation sévère,Vigilance,FR,NFS,créatininémie,Naloxone
Antalgique palier 3,Opioïdes forts,Fentanyl,Actiq,Douleur intense rebelle,Douleur chronique,Agoniste µ très puissant,Dépression respiratoire,Bradycardie,Fréquence respiratoire,TA,NFS,fonction cardiaque,Naloxone
Antipyrétique,Paracétamol,Paracétamol,Doliprane,Fièvre mal tolérée,Syndrome fébrile,Diminution synthèse hypothalamique des prostaglandines ,Hépatotoxicité,Réactions cutanées,Courbe thermique,hydratation,Bilan hépatique,paracétamolémie,N-acétylcystéine
Antipyrétique,AINS,Ibuprofène,"Advil, Nurofen",Fièvre avec douleurs,Syndrome fébrile,Inhibition COX,Hémorragie digestive,Insuffisance rénale,Fièvre,douleur,Créatininémie,NFS,Pas d'antidote spécifique
Antipyrétique,AINS,Acide acétylsalicylique,Aspirine,Fièvre avec douleurs,Inflammation,Inhibition COX,Hémorragie digestive,Ulcère,Signes de saignement,douleurs gastro,NFS,,Pas d'antidote spécifique
AINS,AINS,Kétoprofène,Profénid,Inflammation articulaire,Douleur rhumatologique,Inhibition COX-1/2,Hémorragie digestive,Insuffisance rénale,Efficacité anti-inflammatoire,signes digestifs,Créatininémie,NFS,Pas d'antidote spécifique
AINS,AINS,Diclofénac,Voltaren,Douleur rhumatologique,Inflammation post-traumatique,Inhibition COX-1/2,Hémorragie digestive,Insuffisance rénale aiguë,Signes digestifs,diurèse,Créatininémie,NFS,Pas d'antidote spécifique
AINS,AINS,Naproxène,Naprosyne,Inflammation articulaire,Dysménorrhée,Inhibition COX-1/2,Ulcère hémorragique,Insuffisance rénale,Efficacité analgésique,signes digestifs,Créatininémie,NFS,Pas d'antidote spécifique
AINS,AINS,Célécoxib,Celebrex,Arthrose,Polyarthrite rhumatoïde,Inhibition COX-2 sélective,Risque cardio-vasculaire,Hémorragie digestive,TA,douleur,Créatininémie,bilan lipidique,Pas d'antidote spécifique
Corticoïdes,Corticoïdes systémiques,Prednisone,Cortancyl,Anti-inflammatoire,Immunosuppression,Modulation transcription gènes,Hyperglycémie,Ostéoporose,Poids,TA,Ionogramme,glycémie,Pas d'antidote
Corticoïdes,Corticoïdes systémiques,Prednisolone,Solupred,Anti-inflammatoire,Immunosuppression,Modulation transcription gènes,Syndrome de Cushing,Insuffisance surrénale,Poids,TA,Ionogramme,glycémie,Pas d'antidote
Corticoïdes,Corticoïdes systémiques,Méthylprednisolone,Medrol,Anti-inflammatoire systémique,Urgences inflammatoires,Modulation transcription gènes,Hyperglycémie,Myopathie cortisonique,Vigilance,signes d'infection,Glycémie,ionogramme,Pas d'antidote
Corticoïdes,Corticoïdes systémiques,Dexaméthasone,Dectancyl,Anti-inflammatoire,Œdème cérébral,Modulation transcription gènes,Hyperglycémie,Hypokaliémie,Poids,TA,ionogramme,Ionogramme,Pas d'antidote
Anticoagulant,HNF,Héparine sodique,Héparine Choay,Prévention/traitement thrombose,Relais AVK,Potentialise antithrombine III,Hémorragie,Thrombopénie induite,Signes de saignement,points injection,TCA,NFS plaquettes,Sulfate de protamine IV
Anticoagulant,HBPM,Énoxaparine,Lovenox,Prévention maladie thromboembolique,Traitement thrombose,Inhibition facteur Xa,Hémorragie,Hématomes SC,Saignements,hématomes,NFS plaquettes,créatininémie,Protamine
Anticoagulant,HBPM,Tinzaparine,Innohep,Prévention maladie thromboembolique,Traitement thrombose,Inhibition facteur Xa,Hémorragie,Hématomes,Saignements,contrôle poids,NFS plaquettes,créatininémie,Protamine
Anticoagulant,HBPM,Nadroparine,Fraxiparine,Prévention maladie thromboembolique,Traitement thrombose,Inhibition facteur Xa,Hémorragie,Accumulation en IR,Saignements,hématomes,NFS,créatininémie,Protamine
Anticoagulant,AVK,Fluindione,Préviscan,Prévention AVC fibrillation auriculaire,Prothèses valvulaires,Inhibition synthèse facteurs II VII IX X,Hémorragie,Nécrose cutanée,Signes de saignement,alimentation K stable,INR régulier,,Vitamine K IV/PO
Anticoagulant,AVK,Warfarine,Coumadine,Prévention AVC,Traitement thrombose veineuse,Inhibition synthèse facteurs vitamine K dépendants,Hémorragie intracrânienne,Interactions nombreuses,Observance,alimentation,INR régulier,,Vitamine K + PPSB urgence
Anticoagulant,AVK,Acénocoumarol,Sintrom,Prévention AVC,Prothèses valvulaires,Inhibition synthèse facteurs vitamine K,Hémorragie,Nécrose cutanée,Alimentation stable,observance,INR,,Vitamine K
Anticoagulant,AOD,Rivaroxaban,Xarelto,Prévention AVC fibrillation auriculaire,Traitement thrombose veineuse,Inhibition directe facteur Xa,Hémorragie,Hématurie,Signes de saignement,observance,Créatininémie,,Andexanet alfa
Anticoagulant,AOD,Apixaban,Eliquis,Prévention AVC,Traitement thrombose veineuse,Inhibition directe facteur Xa,Hémorragie digestive,Hématomes,Saignements,observance,Créatininémie,,Andexanet alfa
Anticoagulant,AOD,Edoxaban,Lixiana,Prévention AVC,Traitement thrombose veineuse,Inhibition directe facteur Xa,Hémorragie,Hématurie,Signes de saignement,,Créatininémie,,Andexanet alfa
Anticoagulant,AOD,Dabigatran,Pradaxa,Prévention AVC fibrillation auriculaire,Traitement thrombose veineuse,Inhibition directe thrombine,Hémorragie,Dyspepsie,Signes de saignement,observance,Créatininémie,,Idarucizumab
Antiagrégant,AAP inhibiteur COX-1,Acide acétylsalicylique,"Kardégic, Aspégic",Prévention AVC,Prévention infarctus post-syndrome coronarien aiguë,Inhibition irréversible COX-1,Hémorragie,Ulcère gastrique,Signes de saignement,,NFS si suspicion anémie,,Pas d'antidote
Antiagrégant,AAP inhibiteur ADP,Clopidogrel,Plavix,Prévention syndrome coronarien aiguë,Post-stent,Inhibition récepteur P2Y12,Hémorragie,Troubles digestifs,Saignements,observance,NFS si symptômes,,Pas d'antidote spécifique
Antiagrégant,AAP inhibiteur ADP,Ticlopidine,Ticlid,Prévention AVC,Post-stent,Inhibition P2Y12,Hémorragie,Agranulocytose,Signes de saignement,céphalées,NFS systématique,,Pas d'antidote
Antiagrégant,AAP inhibiteur ADP,Ticagrelor,Brilique,Prévention syndrome coronarien aiguë,Infarctus,Inhibition P2Y12,Hémorragie,Bradycardie,Saignements,FC,NFS,,Pas d'antidote
Antiagrégant,AAP inhibiteur ADP,Prasugrel,Efient,Prévention syndrome coronarien aiguë,Angioplastie,Inhibition P2Y12,Hémorragie,Saignements neuraux,Saignements,,NFS,,Pas d'antidote
Antiagrégant,AAP antagoniste GP IIb/IIIa,Eptifibatide,Integrelin,Urgence angioplastie,Angor instable,Blocage récepteur GP IIb/IIIa,Hémorragie grave,Thrombopénie,Surveillance rapprochée saignements,,NFS plaquettes régulière,,Pas d'antidote
Antiagrégant,AAP antagoniste GP IIb/IIIa,Tirofiban,Agrastat,Urgence cardiaque,Angioplastie coronaire,Antagoniste récepteur GP IIb/IIIa,Hémorragie importante,Thrombopénie sévère,Points de ponction,purpura,NFS plaquettes,,Pas d'antidote
