Famille,Sous_type,Medicament_Principal,Exemples_Commerciaux,Indication_1,Indication_2,Mecanisme_Court,IDE_1_Grave,IDE_2,Surveillance_Clinique_1,Surveillance_Clinique_2,Surveillance_Biologique_1,Surveillance_Biologique_2,Antidote
Antalgique palier 1,Non opioïdes,Paracétamol,Doliprane,Douleur légère-modérée,Fièvre,Inhibition synthèse prostaglandines au SNC,Hépatotoxicité,Réactions cutanées,Douleur,température,fonction hépatique,,N-acétylcystéine
Antalgique palier 1,Non opioïdes,Ibuprofène,"Advil, Nurofen",Douleur légère-modérée,Inflammation,Inhibition non-sélective des COX-1/2,Hémorragie digestive,Insuffisance rénale aiguë,Signes digestifs,diurèse,Créatininémie,,
Antalgique palier 1,Non opioïdes,Acide acétylsalicylique,"Aspirine, Kardégic",Douleur légère-modérée,,Inhibition irréversible et non-sélective des COX-1/2,Hémorragie digestive,Ulcère gastro-intestinal,Signes de saignement,douleurs gastriques,Créatininémie,NFS,
Antalgique palier 2,Opioïdes faibles,Tramadol,Contramal,Douleur modérée-intense,,Agonisme faible sur récepteurs µ opioïdes + inhibition de la recapture de sérotonine et noradrénaline,Dépression respiratoire,syndrome sérotoninergique,Fréquence respiratoire,vigilance,,,Naloxone
Antalgique palier 2,Opioïdes faibles,Codéine,Codoliprane,Douleur modérée-intense,,Agonisme faible sur récepteurs µ opioïdes,Constipation,Nausées/vomissements,Vigilance,transit,,,Naloxone
Antalgique palier 3,Opioïdes forts,Morphine,Skénan LP,Douleur intense rebelle,Douleur chronique oncologique,Agonisme puissant et sélectif sur récepteurs µ opioïdes,Dépression respiratoire,Constipation sévère,Fréquence respiratoire,SpO2,NFS,Fonction hépatique,Naloxone
Antalgique palier 3,Opioïdes forts,Oxycodone,OxyContin,Douleur intense rebelle,Douleur postopératoire,Agonisme puissant et sélectif sur récepteurs µ opioïdes,Dépression respiratoire,Constipation sévère,Vigilance,FR,NFS,Fonction hépatique,Naloxone
Antalgique palier 3,Opioïdes forts,Fentanyl,Actiq,Douleur intense rebelle,Douleur chronique,Agonisme très puissant et sélectif sur récepteurs µ opioïdes,Dépression respiratoire,,Fréquence respiratoire,TA,NFS,,Naloxone
Antipyrétique,Paracétamol,Paracétamol,Doliprane,Fièvre mal tolérée,Syndrome fébrile,Inhibition synthèse prostaglandines au SNC,Hépatotoxicité,Réactions cutanées,Courbe thermique,hydratation,Bilan hépatique,paracétamolémie,N-acétylcystéine
Antipyrétique,AINS,Ibuprofène,"Advil, Nurofen",Fièvre avec douleurs,Syndrome fébrile,Inhibition non-sélective des COX-1/2,Hémorragie digestive,Insuffisance rénale,Fièvre,douleur,Créatininémie,NFS,
Antipyrétique,AINS,Acide acétylsalicylique,Aspirine,Fièvre avec douleurs,Inflammation,Inhibition irréversible des COX-1/2,Hémorragie digestive,Ulcère,Signes de saignement,douleurs gastro,NFS,,
AINS,AINS,Kétoprofène,Profénid,Inflammation articulaire,Douleur rhumatologique,Inhibition non-sélective des COX-1/2,Hémorragie digestive,Insuffisance rénale,Efficacité anti-inflammatoire,signes digestifs,Créatininémie,NFS,
AINS,AINS,Diclofénac,Voltaren,Douleur rhumatologique,Inflammation post-traumatique,Inhibition non-sélective des COX-1/2,Hémorragie digestive,Insuffisance rénale aiguë,Signes digestifs,diurèse,Créatininémie,NFS,
