Catégorie,Sous-catégorie,Prévalence,Symptomatologie
Troubles de la personnalité,"Psychotiques : paranoïaque, schizoïde, schizotypique",,"méfiance et suspicion envahissantes, interprétation malveillante des intentions d’autrui, rancune tenace, sensibilité, détachement des relations sociales, restriction de l’expression émotionnelle, indifférence aux éloges/critiques, préférence marquée pour les activités solitaires, anhédonie, excessive aux critiques, tendance à se sentir persécuté, idées de référence, croyances magiques/perceptions inhabituelles, discours vague ou métaphorique, comportement/excentricité, anxiété sociale intense liée à des idées paranoïdes"
Troubles de la personnalité,"Emotionnelles : antisociale, borderline, histrionique, narcissique",,"mépris et violation des droits d’autrui, impulsivité, irritabilité/agressivité, irresponsabilité, absence de remords, tromperie/manipulation, instabilité affective intense, impulsivité, relations interpersonnelles chaotiques (idéalisation/dévaluation), sentiment chronique de vide, peur de l’abandon, conduites auto‑agressives/suicidaires, théâtralité, expressivité émotionnelle excessive, recherche d’attention, suggestibilité, séduction inappropriée, émotion labile et superficielle, sentiment grandiose de soi, besoin d’admiration, manque d’empathie, fantasmes de succès/puissance, sentiment d’être « spécial », exploitation d’autrui"
Troubles de la personnalité,"Anxieuses : évitante, dépendante, obsessionnelle-compulsive",,"inhibition sociale, sentiment d’inadéquation, hypersensibilité aux jugements négatifs, évitement des activités impliquant autrui par crainte de rejet, besoin excessif d’être pris en charge, difficultés à prendre des décisions sans réassurance, crainte de la séparation, soumission, perfectionnisme rigide, souci du contrôle, ordre, listes, dévotion au travail au détriment des loisirs, rigidité morale, difficulté à déléguer"
Troubles du neurodéveloppement,Troubles du spectre de l’autisme,,"déficits persistants de la communication sociale (réciprocité, communication non verbale, relations) et comportements/intérêts restreints et répétitifs (stéréotypies, routines, intérêts absorbants, hyper/hyporéactivité sensorielle)"
Troubles du neurodéveloppement, TDAH et apparentés,,"inattention (difficultés de concentration, oublis, désorganisation), hyperactivité (agitation, besoin de bouger) et impulsivité (agir sans réfléchir, interruptions)"
Troubles du neurodéveloppement,"Troubles des acquisitions (communication, coordinations motrices) et des apprentissages (dyslexie, dyscalculie)",,"troubles du langage réceptif/expressif, phonation, fluidité, pragmatique, maladresse, lenteur, difficultés de motricité fine/globale, dyslexie (lecture), dysorthographie/dysgraphie (écriture), dyscalculie (calcul/raisonnement mathématique)"
Troubles du neurodéveloppement, Troubles du développement intellectuel,,"limitations du fonctionnement intellectuel (raisonnement, résolution de problèmes) et du fonctionnement adaptatif (communication, autonomie, vie sociale)"
"Troubles psychotiques 
(altération du contact à la réalité)",Schizophrénie et formes limites,"1,50%","délire (persécution, référence, contrôle, grandeur), hallucinations (souvent auditives), désorganisation du discours et du comportement, symptômes négatifs (émoussement affectif, alogie, aboulie, anhédonie), troubles cognitifs"
"Troubles psychotiques 
(altération du contact à la réalité)", Trouble délirant persistant,,"délire(s) systématisé(s) non bizarres (persécution, jalousie, érotomanie, somatique, mégalomanie) durant ≥ 1 mois sans autres symptômes schizophréniques majeurs"
"Troubles de l’humeur 
(perturbation de l’humeur avec modifications cognitives et physiologiques)",Trouble bipolaire ,"1,50%","alternance d’épisodes maniaques/hypomaniaques (humeur exaltée/irritable, augmentation de l’énergie, idées de grandeur, diminution du sommeil, logorrhée, impulsivité) et d’épisodes dépressifs majeurs"
"Troubles de l’humeur 
(perturbation de l’humeur avec modifications cognitives et physiologiques)",Trouble dépressif caractérisé ,10%,"humeur dépressive et/ou anhédonie persistante avec symptômes cognitifs (culpabilité, dévalorisation, idées de mort), neurovégétatifs (sommeil, appétit, libido), psychomoteurs (ralentissement/agitation) et asthénie"
